2;GC;5;org.apache.xerces.impl.dtd.XMLDTDProcessor;x;
2;GC;6;org.apache.xerces.impl.dtd.XMLDTDValidator;;x
2;GC;7;org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl;x;
2;GC;8;org.apache.xerces.impl.xs.SchemaGrammar;x;
2;GC;9;org.apache.xerces.impl.xs.SubstitutionGroupHandler;;x
2;GC;10;org.apache.xerces.impl.xs.XMLSchemaLoader;x;
2;GC;11;org.apache.xerces.impl.xs.XSAttributeGroupDecl;x;
2;GC;12;org.apache.xerces.impl.xs.XSConstraints;;x
2;GC;13;org.apache.xerces.impl.xs.XSModelImpl;;x
2;GC;14;org.apache.xerces.impl.xs.traversers.XSDHandler;;x
2;GC;15;org.apache.xerces.impl.xs.traversers.XSDSimpleTypeTraverser;;x
2;GC;16;org.apache.xerces.xinclude.XIncludeHandler;x;
2;GC;17;org.apache.xml.serialize.BaseMarkupSerializer;;x
2;GC;18;org.apache.xml.serialize.DOMSerializerImpl;;x
2;GC;19;org.apache.xml.serialize.HTMLSerializer;;x
2;GC;20;org.apache.xml.serialize.XML11Serializer;;x
2;LM;1;org.apache.xerces.impl.XML11EntityScanner - Linha: 405;;x
2;LM;2;org.apache.xerces.impl.XMLDTDScannerImpl - Linha: 1096;;x
2;LM;3;org.apache.xerces.impl.XMLDTDScannerImpl - Linha: 1389;x;
2;LM;4;org.apache.xerces.impl.XMLEntityManager - Linha: 1597;;x
2;LM;5;org.apache.xerces.impl.XMLEntityScanner - Linha: 667;;x
2;LM;6;org.apache.xerces.impl.XMLNamespaceBinder - Linha: 666;x;
2;LM;7;org.apache.xerces.impl.dtd.XMLNSDTDValidator - Linha: 67;x;
2;LM;8;org.apache.xerces.impl.xpath.regex.RegexParser - Linha: 867;;x
2;LM;9;org.apache.xerces.impl.xs.XMLSchemaValidator - Linha: 2335;x;
2;LM;10;org.apache.xerces.impl.xs.XSAttributeGroupDecl - Linha: 169;;x
2;LM;11;org.apache.xerces.impl.xs.XSConstraints - Linha: 353;x;
2;LM;12;org.apache.xerces.impl.xs.XSWildcardDecl - Linha: 183;;x
2;LM;13;org.apache.xerces.impl.xs.XSWildcardDecl - Linha: 297;;x
2;LM;14;org.apache.xerces.impl.xs.traversers.XSDHandler - Linha: 3777;x;
2;LM;15;org.apache.xerces.impl.xs.traversers.XSDHandler - Linha: 758;x;
