Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Method,"controllers.dto.BatchStatusDTO.(Anon_15).asBatchStatus",,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Class,"controllers.dto.BatchStatusDTO.(Anon_16)",1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,29,0,0,0,1,,4,0,4,2,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Public Method,"controllers.dto.BatchStatusDTO.(Anon_16).asBatchStatus",,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Class,"controllers.dto.BatchStatusDTO.(Anon_2)",1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,29,0,0,0,1,,4,0,4,2,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Public Method,"controllers.dto.BatchStatusDTO.(Anon_2).asBatchStatus",,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Class,"controllers.dto.BatchStatusDTO.(Anon_3)",1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,29,0,0,0,1,,4,0,4,2,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Public Method,"controllers.dto.BatchStatusDTO.(Anon_3).asBatchStatus",,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Class,"controllers.dto.BatchStatusDTO.(Anon_4)",1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,29,0,0,0,1,,4,0,4,2,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Public Method,"controllers.dto.BatchStatusDTO.(Anon_4).asBatchStatus",,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Class,"controllers.dto.BatchStatusDTO.(Anon_5)",1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,29,0,0,0,1,,4,0,4,2,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
