Type,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Class,Class - model.report.batch.BatchesMonthlyReport.Transaction,0,0,0,0,0,0,0,0,1,1,0,,0,0,,,0,3,0,12,0,0,0,0,,5,0,5,4,0,0,,,,3,4,4,0,,,,,,0,0,0,0,,0,0,,0,0.00,0,0,0,0
Class,Private Class - Global.ActionWrapper,1,1,1,1,4,0,4,0,1,2,0,,0,0,,,2,0,2,14,0,0,0,2,,13,1,12,6,5,0,,,,5,8,5,3,,,,,,1,1,1,1,,1,0,,0,0.00,2,2,2,2
Method,Private Constructor - model.production.progress.Projection.Projection,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,5,1,3,0,4,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Constructor - model.user.GlobalAdministrator.GlobalAdministrator,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Constructor - model.user.ProductionUser.ProductionUser,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Constructor - model.user.ScanningSupervisor.ScanningSupervisor,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Constructor - model.user.Seller.Seller,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Constructor - security.credentials.CredentialsProvider.CredentialsProvider,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - controllers.dto.UserDTO.verifyPermission,,,,,,,,,,,,,,,,,,,,,,,,,5,14,1,13,1,10,0,1,3,0,8,11,1,10,3,3,3,1,1,,,,,0,,1,0,,0.00,,,,
Method,Private Method - model.batch.Batch.generateBatchName,,,,,,,,,,,,,,,,,,,,,,,,,4,9,0,9,2,5,0,3,2,0,4,6,2,4,2,2,3,1,1,,,,,0,,1,0,,0.00,,,,
Method,Private Method - model.batch.Batch.getBatchError.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - model.batch.Batch.getBatchStatus.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - model.batch.Batch.getDocument.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - model.batch.Batch.getDocumentByName,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0,11,3,7,0,7,3,0,3,6,2,4,3,3,4,3,2,,,,,2,,2,2,,0.00,,,,
Method,Private Method - model.batch.Batch.getDocumentByName.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - model.batch.Batch.isFixedBatch.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,2,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - model.batch.Batch.receivedDateIsLessThanDeliveryDate,,,,,,,,,,,,,,,,,,,,,,,,,4,17,1,16,2,11,2,6,4,1,5,9,2,7,4,4,7,4,4,,,,,4,,2,4,,0.13,,,,
Method,Private Method - model.batch.Batch.validReceivedDate,,,,,,,,,,,,,,,,,,,,,,,,,5,11,1,10,1,6,0,6,3,0,3,6,1,5,3,3,4,1,1,,,,,0,,2,0,,0.00,,,,
Method,Private Method - model.batch.BatchError.errorValuesMap,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,6,1,4,0,2,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - model.batch.BatchError.validateSeverityType,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,7,2,3,0,2,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
Method,Private Method - model.batch.observation.Observation.validateDocuments,,,,,,,,,,,,,,,,,,,,,,,,,2,14,1,8,2,3,5,2,3,0,1,5,2,3,3,3,4,1,0,,,,,0,,2,0,,0.63,,,,
Method,Private Method - model.batch.observation.ObservationFactory.setObservationMap,,,,,,,,,,,,,,,,,,,,,,,,,10,11,0,11,1,9,0,3,1,0,9,10,1,9,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - model.batch.protocol.BatchesProtocol.getDocDetailsList,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,9,2,5,0,4,3,0,3,7,3,4,3,3,4,1,0,,,,,0,,2,0,,0.00,,,,
Method,Private Method - model.client.account.Client.filterDuplicateBatchPrefixes,,,,,,,,,,,,,,,,,,,,,,,,,4,17,0,11,3,8,6,8,2,0,5,7,2,5,2,2,2,1,1,,,,,0,,1,0,,0.55,,,,
Method,Private Method - model.client.account.Client.filterDuplicateBatchPrefixes.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - model.client.account.Client.filterDuplicateBatchPrefixes.(lambda_expr_2),,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - model.client.account.Client.getAllBatchesPrefix.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - model.client.account.Client.getPackage.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - model.client.account.Client.getSimplifyClient.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,3,0,2,1,0,2,2,0,2,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - model.client.account.Client.simplify.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,3,0,2,1,0,2,2,0,2,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - model.client.account.Client.validTrialDays,,,,,,,,,,,,,,,,,,,,,,,,,6,9,0,9,1,6,0,1,2,0,2,4,1,3,3,3,4,1,1,,,,,0,,1,0,,0.00,,,,
Method,Private Method - model.client.external.ExternalAccount.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,21,27,2,25,5,24,0,10,2,0,6,7,2,5,3,3,3,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - model.client.external.ExternalClient.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,20,26,3,23,5,22,0,5,2,0,4,5,2,3,3,3,3,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - model.client.external.ExternalUser.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,8,12,3,9,3,9,0,3,1,0,3,3,1,2,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - model.client.software.plan.SoftwarePlan.validPrice,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,1,2,0,1,2,0,1,3,1,2,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Method,Private Method - model.client.software.plan.SoftwarePlan.validSpaceHired,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,5,1,2,1,1,2,0,1,3,1,2,2,2,3,1,0,,,,,0,,1,0,,0.20,,,,
Method,Private Method - model.client.software.plan.SoftwarePlan.validTrialDays,,,,,,,,,,,,,,,,,,,,,,,,,6,10,0,10,1,6,0,1,2,0,2,4,1,3,3,3,4,1,1,,,,,0,,1,0,,0.00,,,,
Method,Private Method - model.production.action.ProductionAction.getCurrentBatch,,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,2,4,0,4,2,0,3,5,2,3,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
Method,Private Method - model.production.action.ProductionAction.isValidAction,,,,,,,,,,,,,,,,,,,,,,,,,7,7,0,7,1,4,0,2,2,0,1,3,1,2,2,2,8,1,0,,,,,0,,1,0,,0.00,,,,
Method,Private Method - model.production.action.ProductionAction.setProductionStatus,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,3,6,0,5,3,0,2,5,2,3,3,3,3,1,0,,,,,0,,2,0,,0.00,,,,
Method,Private Method - model.production.action.ProductionAction.setProductionStatus.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - model.production.Package.validDemand,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,2,1,0,3,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,1.50,,,,
Method,Private Method - model.report.batch.BatchesMonthlyReport.generateProtocolTitle,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,2,2,2,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - model.tenant.Administrator.setId,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,3,1,0,1,2,1,1,2,2,2,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - model.tenant.Reseller.setId,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,3,1,0,1,2,1,1,2,2,2,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - model.user.ProductionUser.getProductionAction.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
