Type,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Method,Private Method - br.com.goclip.controllers.UserController.findAllUsers.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.controllers.UserController.removeProfilePicture.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.controllers.UserController.restoreDocuments.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,1,5,0,5,1,0,3,3,1,2,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.controllers.UserController.restoreDocuments.(lambda_expr_2),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.AccountTest.shouldNotSaveCategoryWithoutDefaultDate.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.AccountTest.shouldNotSaveCategoryWithoutDefaultDate.(lambda_expr_2),,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,2,0,2,0,5,1,0,1,1,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.approval.ApprovalRule.addVote.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.approval.ApprovalRule.addVote.(lambda_expr_2),,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.approval.ApprovalRule.getApprovalResult.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.approval.ApprovalRule.getApprovalResult.(lambda_expr_2),,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.approval.ApprovalRule.getApproversAsUsers.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.approval.ApprovalRule.hasApprover.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.approval.ApprovalSpecification.hasApprover.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.Campo.inferFieldType,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,1,3,0,2,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
